administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
11,15,2,7.224277,9,1,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,1.549632,9,2,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,3.999977,9,3,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,4.584376,9,4,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,9.249636,9,5,1,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,3,999.0,9,0,5,1,1969-12-31 18:00:45.317,1,2,40.14241,9999.0
11,15,2,9.05202,1,1,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,2.583539,1,2,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,3.633621,1,3,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,2.133594,1,4,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,2.350333,1,5,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,10.41724,1,6,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,3,999.0,1,0,5,1,1969-12-31 18:00:45.317,1,2,26.9698,9999.0
11,15,1,8.336003,3,1,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,23.03713,3,2,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,31.22051,3,3,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,34.93739,3,4,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,8.300622,3,5,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,3.76694,3,6,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,8.300881,3,7,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,25.65174,3,8,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,14.96753,3,9,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,17.01808,3,10,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,3,999.0,3,0,5,1,1969-12-31 18:00:45.317,1,2,95.30732,9999.0
11,15,2,7.667146,4,1,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,2.900429,4,2,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,0.3835117,4,3,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,6.334465,4,4,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,3,999.0,4,0,5,1,1969-12-31 18:00:45.317,1,2,41.40306,9999.0
11,15,1,16.41761,2,1,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,16.45275,2,2,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,21.66895,2,3,2,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,1.066227,2,4,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,7.550242,2,5,4,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,1,21.93436,2,6,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,2,22.00056,2,7,3,1,1969-12-31 18:00:45.317,1,1,0.0,0.0
11,15,3,999.0,2,0,5,1,1969-12-31 18:00:45.317,1,2,83.93386,9999.0
11,15,3,999.0,10,0,5,1,1969-12-31 18:00:45.317,1,2,999.0,544.1464
11,15,3,999.0,12,0,5,1,1969-12-31 18:00:45.317,1,2,999.0,9999.0
11,15,2,42.65738,5,1,4,1,1969-12-31 18:00:45.317,2,3,0.0,0.0
11,15,2,6.400866,5,2,2,1,1969-12-31 18:00:45.317,2,1,0.0,0.0
11,15,1,8.349962,5,3,3,1,1969-12-31 18:00:45.317,2,1,0.0,0.0
11,15,2,4.366689,5,4,3,1,1969-12-31 18:00:45.317,2,1,0.0,0.0
