administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
1,32,2,4.604386,9,1,4,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,3.917116,9,2,2,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,2.199356,9,3,3,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,2.982496,9,4,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,3,999.0,9,0,5,1,1969-12-31 18:00:45.440,1,2,28.79073,9999.0
1,32,2,7.897322,1,1,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,3.467021,1,2,3,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,3.950273,1,3,2,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,4.183996,1,4,2,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,3,999.0,1,0,5,1,1969-12-31 18:00:45.440,1,2,21.59395,9999.0
1,32,2,7.154699,3,1,4,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,4.933453,3,2,4,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,1,11.60227,3,3,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,1,19.93061,3,4,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,23.64087,3,5,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,7.102221,3,6,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,3,999.0,3,0,5,1,1969-12-31 18:00:45.440,1,2,52.23205,9999.0
1,32,2,9.534184,4,1,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,6.316568,4,2,1,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,7.018308,4,3,2,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,2,7.099429,4,4,2,1,1969-12-31 18:00:45.440,1,1,0.0,0.0
1,32,3,999.0,4,0,5,1,1969-12-31 18:00:45.440,1,2,54.07877,9999.0
1,32,3,999.0,2,0,5,1,1969-12-31 18:00:45.440,1,2,7.461668,9999.0
1,32,3,999.0,10,0,5,1,1969-12-31 18:00:45.440,1,2,999.0,332.24
